Product,Issue,Sub-issue,Consumer complaint narrative
Credit card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"PNC bank accnt : XXXX This account was lost and had all the unauthorized charges since early XXXX. I've called and reported first thing when I got back from overseas. They reviewed and ruled that this was all mine, even thought I lost it a month prior. Since then, I've called XXXX more times, but each time i got nowhere. They kept transferred me around and promised me someone will call me back but nothing ever happened. Its been like this 6 -9 months now. NOw my credit report scores had dropped down significantly. it messed my score really badly. I need help with this urgent. I dont know where to go. Please come in and help me disputing and resolving this."
Credit card,Incorrect information on your report,Account status incorrect,
Credit card,Incorrect information on your report,Account status incorrect,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Credit card,Incorrect information on your report,Account status incorrect,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt is not yours,I bought a car an got an auto loan with a company XX/XX/XXXX on XX/XX/XXXX the automobile was illigally repossessed. The last payment I made was in the amount of {$2000.00} dollars. I informed the leander this payment would be made on the specific date. Once the payment cleared my car was illegally repossessed. The company than tried to sale the car at an auction while I should have still been in possession of the automobile. It was sold at a loss
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Attempts to collect debt not owed,Debt is not yours,My credit report contains accounts that I suspect were fraudulently added. Please block and remove these errors immediately.
Debt collection,Communication tactics,"You told them to stop contacting you, but they keep trying",This is the XXXX time Ive told this company to put me on their do not call list. They keep asking for my name and I tell them I do not need to provide it as the law states all I need to do is request my number to not be called. They repeatedly ignore my request and just ask for my name.
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I was charged by XXXX on XX/XX/XXXX for a total of {$150.00}. Per their return policy, there were 3 items I did not like that I attempted to return, but after 3 attempts to reach customer service by their listed email with no response, I issued a dispute with Ally credit card around XX/XX/XXXX. 

XXXX has a if you are not happy with any of our products for any reason, well gladly accept your non on-sale items within 60 days.. listed on their website. My emails requesting to XXXX were within those 60 days. 

XX/XX/XXXX : I requested a XXXX and refund for 3 of the items to XXXX. ( no reply ) XX/XX/XXXX : I followed up on my XXXX request to XXXX. ( no reply ) XX/XX/XXXX : I followed up again to my XXXX request to XXXX ( no reply ) The merchant has not issued any credit despite my request. I expected a refund of {$130.00} for 3 of the 4 items I ordered. 

On XX/XX/XXXX, Ally credit card wrote me by mail that they will not honor their purchase protection agreement and said they would not refund my claim of {$150.00}, though I requested {$130.00} for the 3 times I wanted to return."
Vehicle loan or lease,Problems at the end of the loan or lease,Unable to receive car title or other problem after the loan is paid off,I entered a 72 month contract with Ally financial in XX/XX/XXXX and as of today it show I have 2 more payments of XXXX remaining but a balance of XXXX. As of today I am already XXXX months into paying on this loan with a one month extension in XXXX feel I have paid off my car and Im due my title and also due around XXXX in overpayment. I reached out to ally and the representative explained to me that I had 2 dates to base the 72 months off of the purchase date in XXXX and the contract date in XXXX which is not on my contract as you will see. I also tried to get the app so that I could get my payment history but after entering my information the system failed to recognize me to their advantage.
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I made a purchase from a company called XXXX XXXX for a non conforming item with my PayPal account. I returned the item and waited for the company to issue the credit. The company did not provide the full credit so I filed a dispute with Paypal. 

I filed a dispute and was issued credit for the item. Later Paypal charged my account an additional {$130.00} and put a restriction on my account. Mind you, I pay my bills monthly with them. I called to ask why this happened they tell me I would have to contact PayPal credit. Why is the consumer saddled with determining who it is you're dealing with? They do this to frustrate the consumer and try to steal your money! I am on the phone right now with PayPal credit and I am recording the call. She can't make heads or tail of what it is PayPal is doing. She's asking me what is Paypal doing? How am I supposed to know? If XXXX is an agent of Paypal, why am I saddled with trying to decipher what Paypal is doing? 
Paypal credit said they never gave me a credit twice but just once. They do not know what Paypal is saying, or doing. They only issued the credit once and not twice as the letter from Paypal is stating. 
This is so frustrating."
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Credit card,Fees or interest,Problem with fees,
Mortgage,Trouble during payment process,Paying off the loan,"Complaint Against Bank of America for Breach of Trust, Contract, and Fraudulent Practices To the Attorney General Offices of Florida : I am submitting this formal complaint to address Bank of Americas fraudulent practices, breach of trust, and deliberate mismanagement of my mortgage loan. These actions have resulted in significant financial loss, mental distress, and long-term harm to my familys stability. My mortgage, originally with a remaining balance of {$17000.00}, was improperly handled in ways that reveal a pattern of predatory intent under the guise of industry standards.

Key Issues in My Complaint : 1. Unauthorized Placement in Forbearance : In early XXXX, anticipating financial strain from my military duties during the COVID-19 pandemic, I requested a refinance for my home loan. Instead, Bank of America placed my loan into forbearance without my consent or proper explanation. My efforts to reverse this unauthorized action were met with absolute refusals, with representatives stating that the decision was irreversible. When I continued to question this action, I was repeatedly dismissed and told that it was industry standard. 

2. Mishandling of Loan Transfers : While the forbearance issue remained unresolved, Bank of America transferred my loan to XXXXXXXX and later to XXXX XXXX. XXXX has since ceased operations, leaving me unable to access vital documentation of payments made under their servicing. Bank of America failed to ensure that I had a complete record of my loan history before this transfer, severely compromising my ability to manage my mortgage. 

3. Financial and Emotional Harm : This ordeal has caused profound financial damage and stress. Due to the unauthorized forbearance, the extra payments I had made during my active military service were rendered useless. Navigating the confusing and deliberately obstructive responses from Bank of America has exacerbated the challenges of providing for my family post-COVID. The systemic failures and dismissive responses have eroded my financial security and caused immeasurable mental anguish. 

Historical Misconduct by Bank of America XXXX Bank of America has a documented history of predatory and fraudulent practices targeting homeowners, evidenced by penalties and legal actions : XXXX DOJ Settlement : The bank agreed to a {$16.00} XXXX settlement with the U.S. Department of Justice for mortgage fraud, including misrepresenting loan quality and selling defective loans to consumers and investors. 
COVID-19 Forbearance Issues : Numerous consumer complaints reveal that Bank of America improperly placed mortgages into forbearance without borrower consent during the pandemic, further harming financially vulnerable customers.

Ongoing Allegations : Despite past penalties, Bank of America continues to face widespread allegations of mismanagement, deceptive practices, and failure to communicate effectively with borrowers. 
These actions demonstrate a systemic pattern of exploitation, perpetuated despite previous accountability measures. 

Requested Resolutions : To address the extensive harm caused, I request the following actions : Restoration of Loan Terms : Reverse the unauthorized forbearance and restore my loan to its original terms, reflecting the accurate remaining balance of {$17000.00}. 
Comprehensive Documentation : Provide all payment records, loan activity, and detailed explanations of adjustments made during Bank of Americas servicing and subsequent transfers.

Integration of Deferred Balances : Consolidate any deferred amounts into a transparent, structured payment plan, ensuring future payment discrepancies are avoided.

Independent Audit and Accountability : Conduct a third-party review of my mortgage account for violations of consumer protection laws, including the Truth in Lending Act ( TILA ) and the Real Estate Settlement Procedures Act ( RESPA ). 
Substantial Financial Compensation : Monetary Damages : Restitution for financial losses, lost payments, and inflated fees caused by Bank of Americas unauthorized actions.

Punitive Damages : Compensation that reflects the gravity of their repeated misconduct and failure to address systemic issues.

Interest and Legal Fees : Reimbursement for accrued interest and costs incurred in resolving this matter.

Emotional Distress Compensation : Recognition of the severe mental and emotional harm inflicted on me and my family due to these practices. 
Closing Statement : As a veteran who has proudly served my country, I expect institutions entrusted with financial stewardship to operate with integrity. Instead, Bank of America has engaged in practices that exploit its customers, leveraging systemic vulnerabilities under the guise of standard practice.

I respectfully urge the Attorney Generals office to thoroughly investigate these practices and hold Bank of America accountable for their actions. My case represents one of many instances where the institution has harmed homeowners through deceptive means. The resolution of this complaint will not only provide justice for my family but also safeguard countless others from enduring similar harm.

In short : I was close to paying off my loan, but Bank of America placed me on forebearance and sold my loan to another company because it was an : "" Industry Standard ''. Not sure what that means, but the outcome as a homeowner has only proved negative. 

I have tried to resolve the problem by myself, as I consult with an escalation expert from Bank of America, with them telling : There's nothing we can do, it is not our problem anymore, go talk with your new servicer, by whom is owned by XXXX XXXX as an investment property, but uses servicing from XXXX XXXX, whom are not recognized within the mortgage industry."
Debt collection,Attempts to collect debt not owed,Debt is not yours,The account is for BestBuy and it was opened XX/XX/year> and closed Contact info ( XXXX ) XXXX BEST BUY/CBNA XXXX XXXX XXXX XXXX XXXX XXXX XXXX SD XXXX XXXX
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. 

It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. 

I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue."
"Payday loan, title loan, personal loan, or advance loan",Getting the loan,None,"In XX/XX/year>, I received a fraudulent call pretending to be from Affirm, asking for my account PIN. I immediately reported this to Affirm, and my account was placed on hold to prevent any fraudulent activity. 

On XX/XX/year>, I attempted to make a purchase using Affirm but was declined because Affirm could not confirm my identity. I contacted Affirm daily through chat and phone from XX/XX/year>, to XX/XX/year>, to resolve this issue and reactivate my account. Each time, I was informed that my case would be escalated and resolved within XXXX business days. However, the issue remains unresolved, and my account is still frozen. 

On XX/XX/year>, I was informed by Affirm that my Shop Pay account information does not match my Affirm account due to my Shop Pay account being associated with my previous name and email. To address this issue, I : Contacted XXXX XXXX daily from XX/XX/year>, to XX/XX/year>, to request the deletion of the outdated account. 
Used Shop Pays account deletion process multiple times, but the outdated account still exists. 
Created a new XXXX XXXX account under my updated legal name and contact details. 
Provided Affirm with proof of identity as requested to reflect my updated name. 
Affirm successfully updated my legal name on the account after verifying my identity, but they will not allow me to verify my identity to unfreeze my account. This inconsistency has prevented me from resolving the hold and using my account. 

Additionally, the loan number in this complaint is for a successful loan from before these issues began. Declinations do not come with loan numbers, so I used this loan number to help Affirm locate my account and resolve the issue. 

Despite my repeated efforts with both companies, including multiple verification attempts, my Affirm account remains frozen, and XXXX XXXX has not confirmed the deletion of the outdated account. These issues continue to prevent me from making purchases or using XXXX XXXX Installments effectively."
Credit card,"Other features, terms, or problems",Other problem,"I opened a Capital One Venture XXXX  credit card based on their advertised robust travel services, which they provide through the Capital One XXXX XXXX. On XX/XX/year>, I booked a XXXX XXXX ticket for {$110.00} through this portal for travel on XX/XX/year>. I later rescheduled the ticket to XX/XX/year> through the same platform. Capital One XXXX did not inform me of penalties or fees tied to cancellations or rescheduling. 

Following this, I decided to cancel the ticket through Capital One XXXX today ( XXXX, 2024 ), as I was assured by the platform interface that XXXX would provide an airline credit worth the ticket price to my account for future use. However, when I tried to utilize this airline credit, Capital One XXXX informed me of a {$99.00} penalty being imposed on my account, allegedly on behalf of XXXX, because of the cancellation. This penalty was not communicated to me when I rescheduled or canceled the ticket. 

I reached out to Capital One XXXX via customer hotline to resolve the issue, pointing out their lack of transparency, but they refused to take responsibility, instead directing me to contact XXXX XXXX. XXXX, in turn, stated that since the ticket was booked through a third-party agency, any concerns should be addressed with Capital One XXXX XXXX 

I was shocked by this response and felt trapped in a situation where neither party was willing to provide clarity or resolution. Upon further research, I discovered that many customers have encountered similar problems with Capital One XXXX. It seems that customers are lured into opening credit cards like the Venture XXXX, which has a {$390.00} annual fee, with promises of robust travel support, only to face poor service and hidden penalties when utilizing these advertised benefits. 

This lack of transparency, combined with the failure to disclose material terms about penalties, feels deceptive and exploitative. If I had been informed about the {$99.00} penalty upfront, I would not have proceeded with the rescheduling or cancellation. 

I am requesting that the {$99.00} penalty be removed from my account, as it was never disclosed during the transaction. Additionally, I hope that the CFPB can look into Capital One XXXX 's practices and advertisements for systemic issues that might be harming customers in similar ways. 

Thank you for your attention to this matter."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Mortgage,Trouble during payment process,Payment process,"We were a victim of identity theft and had to close out our bank accounts and open new ones. We had to make arrangements to have our only income to be direct deposited into the new accounts which took time. 
Evidently when we scheduled a payment, the checking account number was missing XXXX digit so the check was returned internally because I called my bank and they told me that the check was not ever presented to them for payment. 
I called the payment into XXXX mortgage servicing to make the payment for the mortgage and I asked them to fix the account number XXXX months in a row not once did they tell me that I had to fix it on my end. Now because payments were returned XXXX months in a row they now expect us to submit certified bank checks for payment. Our payments were never returned for insufficient funds and before the identity theft we were always on time paying the mortgage. I can have my bank prove that we had the money in the bank enough to cover each payment if we need to. 
This is very unfair to us being XXXX XXXX we cant get to the bank to get a certified check to pay the mortgage. Not to mention the cost of the certified check. 
Now we are behind XXXX and XXXX because XXXX wont allow us to pay traditionally. The money for XXXX is sitting in our bank account because they stress not allowing us to pay it."
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"On XXXX XXXX XXXX I sent a payment to XXXX for the amount of {$440.00}. XXXX indicates that said payment has not been received. It appears debited from the account on the account statement. After several calls to XXXX and visits to the bank ( XXXX ) for almost a year, this situation has not been resolved. My husband and I are emotionally ill due to this incident. The debits after that were with the available balance, meaning that we did not use it. 

I filed a complaint through the CFPB of the United States, sending the account statement and a letter from the bank as evidence, and XXXX still indicates that they have not received the money. XXXX account was closed because of this. 

The checking account number was - XXXX. In my name and in the name of my husband XXXX XXXX XXXX"
Vehicle loan or lease,Getting a loan or lease,Loan opened without my consent or knowledge,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,False statements or representation,Told you not to respond to a lawsuit they filed against you,"XXXX XXXX the Law Offices of Hayt, Hayt & Landau P.L. Represented by Attorney XXXX XXXX XXXX XXXX XXXX XXXX XX/XX/year> TO : Complaint - Court false documents. 



Subject : Complaint Against Hayt, Hayt & Landau P.L., Represented by Attorney XXXX XXXX I am filing this formal complaint against the Law Offices of Hayt, Hayt & Landau P.L., represented by Attorney XXXX XXXX of XXXX XXXX XXXX, XXXX XXXX, XXXX, GA XXXX, for unethical practices, including filing false documents in court and violating privacy protection laws. 

Summary of Complaint : 1. Filing False Affidavits : In a sworn affidavit submitted to the court, Hayt, Hayt & Landau claimed I was served court case documents at a location that i had intended to built a home but never built or lived on. The address cited in the affidavit is vacant land with no structure and has never been inhabited. I do not reside there nor have I ever received any service at that location. 

The affidavit also alleges that a neighbora "" white male between XXXX, '' unknown to meconfirmed my identity. This raises serious concerns regarding the falsification of information, as I have no association with any neighbor at the described location, and it appears my private details were improperly disclosed. 

XXXX. Violation of Privacy Protection Laws : The affidavit indicates that my personal information was discussed with a purported "" neighbor '' without my consent. This constitutes a violation of federal and state privacy laws, such as the Fair Debt Collection Practices Act ( FDCPA ), which prohibits the disclosure of personal information to third parties. 

3. Misrepresentation and Lack of Transparency : At the time of this complaint, I have not been provided any direct information about the case despite multiple inquiries. I only became aware of this matter through calls from attorneys marketing their services and details obtained from the court clerk. 

XXXX. Evidence of Absence : In XX/XX/year>, I left out of the country for a family emergency and traveled via XXXX XXXX. This can be easily verified and serves as proof that I was not in the location they claim to have served me. 


Applicable Laws Violated : 1. Fair Debt Collection Practices Act ( FDCPA ) : Section 807 ( 10 ) : Prohibits the use of false or deceptive means to collect a debt.

Section 805 ( b ) : Prohibits the communication of personal information to third parties without consent.

2. Federal Rules of Civil Procedure ( Rule 4 ) : Requires service of process to be completed at the correct address and prohibits the submission of false affidavits of service. 


XXXX. State Laws on False Affidavits and Privacy Violations : Georgia law ( O.C.G.A. XXXX ) : Criminalizes filing false statements or documents in court. 


Impact : Filing false documents and violating privacy laws denies me the rights to a fair trial, undermine the sanctity of the court and consumer protection rights. Attorneys and law firms must be held to the highest standards of legal ethics, ensuring accuracy and compliance with applicable laws. 

Relief Sought : 1. Immediate investigation into the practices of Hayt, Hayt & Landau P.L. and Attorney XXXX XXXX. 


XXXX. Sanctions against the firm and attorney for filing false affidavits. 


XXXX. Compensation for damages caused by privacy violations and the distress caused by their unethical practices. 


Thank you for your attention to this matter. 

Sincerely, XXXX XXXX"
Mortgage,Struggling to pay mortgage,Foreclosure,"Went through a job change a work originally applied for a modified loan in XX/XX/year>. It was approved then there is a trial period for reduced payment for three months. We heard nothing after attempting to communicate- we then had to go through another trial which we paid on time and no issues- I was unaware that the state at placed a lien on the home- we finally got communication that the second modification was approved but couldnt move forward because of that lienXXXX XXXX days later we got a notice saying the home had been sold in auction, they sent a letter after all this with old documents stating they went back to XXXX for the foreclosure. We never received any dates or official letters from them- this is clearly illegal and there is wrongdoing- I had no notice and no I have to leave my home with no money and nowhere to go."
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Vehicle loan or lease,Getting a loan or lease,Loan opened without my consent or knowledge,I see an additional auto loan with XXXX XXXX XXXX on my credit profile. It is any error and inaccurate. My account with XXXX is paid in full and closed in good standing. This account is not mine.
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Communication tactics,Called before 8am or after 9pm,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,
Credit card,Problem when making payments,Problem during payment process,
Credit card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,Perpay approved me for a credit card with a {$500.00} limit. You have to set up a direct deposit with them first if at least XXXX dollars a month. I set up that direct deposit and the money was taken out of my paycheck. The card was still set at a pending status even though they say they will ship the card after the payment is made. When I went to try and contact the company about the issue they never got back to me. I emailed them and texted the email and number I found on the website but got no reponse for days after I made the payment. Then when they did reply asked me to verify where I had the direct deposit set up so they can make sure I entered to correct account numbers and whatnot and sure enough I did. They proceeded to tell me that they did not receive any payment and they wont ship the card even after proved that the payment was made and to the account numbers given to me by Perpay.
"Payday loan, title loan, personal loan, or advance loan",Received a loan you didn't apply for,None,I had a lone with Esusu and I paid in full and like last year someone with out me knowing took a loan on my behalf and not ever knowing. I own then XXXX its like I told the company I had paid first loan off and I dont own you on the second loan and youll have to file a fraud report on this loan and do a police report and press charges because this is XXXX XXXXXXXX
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I was sent to collections for a XXXX XXXX XXXX XXXX bill. I received a letter from Credit Collection Services about it. The collections agency could not provide an account number or address for the debt so they could not tell me what it was for. After two weeks of calling XXXX I finally spoke to someone that could figure out what the debt was for. They provided me the account number so I was able to view the bill online. The account has an incorrect mailing address that I have never been associated with so I never received any communication about this bill prior to being sent to collections. I have at least 15 other accounts with XXXX all with my phone number and e-mail attached to them, all in good standing, that are under the same social security number and they still never made any attempt to contact me about the bill prior to sending me to collections. This has had a significant negative impact on my credit report so I would like it removed because this is a result of a mistake by XXXX XXXX XXXX XXXX"
